"# Master Outreach Analytics — All Campaigns (Opens require tracking pixels, not available via Gmail API)"
"TOTAL,5727,20,1931,0.3%,33.7%"

Company,Total_Sent,Replies,Bounces,Reply_%,Bounce_%,First_Reply_Date,Campaigns
Salesforce,27,0,11,0.0%,40.7%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 1 FV Outreach - June 2026,Venture Out Batch 3 - June 2026"
Waymo,27,0,0,0.0%,0.0%,,"Venture Out Batch 1 - June 2026,FV Master Batch 1 - June 2026,BBS Master Batch 1 - June 2026"
Twitch,26,0,0,0.0%,0.0%,,"Venture Out Batch 1 - June 2026,FV Master Batch 1 - June 2026,BBS Master Batch 1 - June 2026"
AT&T,25,0,0,0.0%,0.0%,,Fortune 20 Tech & Consulting - May 2026
Citigroup,25,0,0,0.0%,0.0%,,Fortune 20 Tech & Consulting - May 2026
Glean,25,0,25,0.0%,100.0%,,"Venture Out Batch 1 - June 2026,FV Master Batch 1 - June 2026,BBS Master Batch 1 - June 2026"
Mastercard,25,0,7,0.0%,28.0%,,Fortune 20 Tech & Consulting - May 2026
U.S. Bank,25,0,9,0.0%,36.0%,,Fortune 20 Tech & Consulting - May 2026
USAA,25,0,0,0.0%,0.0%,,Fortune 20 Tech & Consulting - May 2026
Logitech,24,0,0,0.0%,0.0%,,"Venture Out Batch 1 - June 2026,FV Master Batch 1 - June 2026,BBS Master Batch 1 - June 2026"
Starbucks,24,0,15,0.0%,62.5%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026,Venture Out Batch 3 - June 2026"
Zoom,23,0,8,0.0%,34.8%,,"Venture Out Batch 1 - June 2026,FV Master Batch 1 - June 2026,BBS Master Batch 1 - June 2026"
Bank of America,22,0,22,0.0%,100.0%,,Fortune 20 Tech & Consulting - May 2026
NASA,22,0,17,0.0%,77.3%,,"Venture Out Batch 1 - June 2026,FV Master Batch 1 - June 2026,BBS Master Batch 1 - June 2026"
BYD,21,0,17,0.0%,81.0%,,Fortune 20 Tech & Consulting - May 2026
GitHub,21,0,20,0.0%,95.2%,,Tech Startup Outreach - May 2026
Amazon,20,0,0,0.0%,0.0%,,Tech Startup Outreach - May 2026
Anduril Industries,20,0,18,0.0%,90.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 1 FV Outreach - June 2026"
Apple,20,0,20,0.0%,100.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 1 FV Outreach - June 2026"
Databricks,20,0,0,0.0%,0.0%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026"
Discord,20,0,0,0.0%,0.0%,,Tech Startup Outreach - May 2026
DoorDash,20,0,0,0.0%,0.0%,,Tech Startup Outreach - May 2026
Figma,20,0,20,0.0%,100.0%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026"
Google,20,0,0,0.0%,0.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 1 FV Outreach - June 2026"
Lockheed Martin,20,0,20,0.0%,100.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 1 FV Outreach - June 2026"
Microsoft,20,0,15,0.0%,75.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 1 FV Outreach - June 2026"
MongoDB,20,0,3,0.0%,15.0%,,Tech Startup Outreach - May 2026
Rippling,20,0,16,0.0%,80.0%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026"
Scale AI,20,0,0,0.0%,0.0%,,Tech Startup Outreach - May 2026
Snowflake,20,0,0,0.0%,0.0%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026"
Sony,20,0,12,0.0%,60.0%,,Tech Startup Outreach - May 2026
UPS,19,0,0,0.0%,0.0%,,Fortune 20 Tech & Consulting - May 2026
Abbott Laboratories,18,0,8,0.0%,44.4%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 1 FV Outreach - June 2026"
Coca-Cola,18,0,16,0.0%,88.9%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026"
Netflix,18,0,0,0.0%,0.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 1 FV Outreach - June 2026"
Notion,18,0,18,0.0%,100.0%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026"
Toyota Motor North America,18,0,0,0.0%,0.0%,,Fortune 20 Tech & Consulting - May 2026
Vanguard,18,0,0,0.0%,0.0%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026"
Boeing,16,0,12,0.0%,75.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 1 FV Outreach - June 2026"
Deere & Company,16,0,0,0.0%,0.0%,,"Fortune 500 & High Growth Outreach - May 2026,Batch 1 FV Outreach - June 2026"
Pfizer,16,0,8,0.0%,50.0%,,"Batch 3 Outreach - May 2026,Batch 3 FV Outreach - June 2026"
Headway,15,0,0,0.0%,0.0%,,Tech Startup Outreach - May 2026
Kalshi,14,0,0,0.0%,0.0%,,Tech Startup Outreach - May 2026
Replit,14,0,0,0.0%,0.0%,,Venture Out Batch 2 - June 2026
Slack,14,0,14,0.0%,100.0%,,Venture Out Batch 2 - June 2026
PlayStation,13,0,13,0.0%,100.0%,,Venture Out Batch 2 - June 2026
Atlassian,12,0,0,0.0%,0.0%,,Venture Out Batch 2 - June 2026
Clay,12,0,8,0.0%,66.7%,,Tech Startup Outreach - May 2026
L'Oreal,12,0,6,0.0%,50.0%,,Venture Out Batch 2 - June 2026
Mondelez,12,0,8,0.0%,66.7%,,Venture Out Batch 2 - June 2026
Supabase,12,0,8,0.0%,66.7%,,Tech Startup Outreach - May 2026
Zip,12,0,8,0.0%,66.7%,,Tech Startup Outreach - May 2026
Mercor,11,0,0,0.0%,0.0%,,Tech Startup Outreach - May 2026
Adobe,10,0,4,0.0%,40.0%,,BBS Expansion Batch 1 - June 2026
Anthem,10,0,6,0.0%,60.0%,,Batch 4 Outreach - June 2026
BlackRock,10,0,5,0.0%,50.0%,,Fortune 20 Tech & Consulting - May 2026
Booz Allen Hamilton,10,0,0,0.0%,0.0%,,BBS Expansion Batch 1 - June 2026
Chobani,10,0,8,0.0%,80.0%,,Venture Out Batch 3 - June 2026
Cohere,10,0,5,0.0%,50.0%,,Batch 4 Outreach - June 2026
Comcast,10,0,10,0.0%,100.0%,,Fortune 20 Tech & Consulting - May 2026
Daily Harvest,10,0,10,0.0%,100.0%,,Venture Out Batch 3 - June 2026
Deloitte,10,0,10,0.0%,100.0%,,BBS Expansion Batch 1 - June 2026
HP,10,0,1,0.0%,10.0%,,BBS Expansion Batch 1 - June 2026
